volume_of_grey_matter_f25006_2_0
mean_intensity_of_brainstem_whole_brain_f26504_2_0
volume_of_peripheral_cortical_grey_matter_f25002_2_0
volume_of_brain_greywhite_matter_f25010_2_0
volume_of_grey_matter_in_insular_cortex_right_f25785_2_0
volume_of_grey_matter_in_insular_cortex_left_f25784_2_0
volume_of_grey_matter_in_putamen_right_f25883_2_0
mean_intensity_of_hippocampus_right_hemisphere_f26577_2_0
volume_of_mdl_left_hemisphere_f26676_2_0
weightedmean_l1_in_tract_anterior_thalamic_radiation_left_f25571_2_0
mean_l3_in_pontine_crossing_tract_on_fa_skeleton_f25297_2_0
mean_intensity_of_lateralventricle_left_hemisphere_f26538_2_0
mean_thickness_of_poletemporal_left_hemisphere_f27445_2_0
mean_md_in_posterior_limb_of_internal_capsule_on_fa_skeleton_left_f25123_2_0
mean_mo_in_pontine_crossing_tract_on_fa_skeleton_f25153_2_0
mean_thickness_of_gsoccipitalinf_right_hemisphere_f27626_2_0
greywhite_contrast_in_lateraloccipital_right_hemisphere_f27034_2_0
mean_intensity_of_lateralventricle_right_hemisphere_f26569_2_0
mean_intensity_of_3rdventricle_whole_brain_f26501_2_0
volume_of_grey_matter_in_postcentral_gyrus_right_f25815_2_0
mean_l2_in_genu_of_corpus_callosum_on_fa_skeleton_f25250_2_0
mean_l2_in_fornix_cresstria_terminalis_on_fa_skeleton_right_f25286_2_0
mean_mo_in_fornix_cresstria_terminalis_on_fa_skeleton_left_f25191_2_0
mean_md_in_medial_lemniscus_on_fa_skeleton_right_f25112_2_0
weightedmean_isovf_in_tract_anterior_thalamic_radiation_right_f25707_2_0
mean_l3_in_retrolenticular_part_of_internal_capsule_on_fa_skeleton_left_f25317_2_0
mean_l2_in_superior_cerebellar_peduncle_on_fa_skeleton_right_f25260_2_0
mean_l2_in_pontine_crossing_tract_on_fa_skeleton_f25249_2_0
volumeratio_of_maskvoltoetiv_whole_brain_f26537_2_0
mean_md_in_genu_of_corpus_callosum_on_fa_skeleton_f25106_2_0
mean_thickness_of_parsopercularis_right_hemisphere_f27282_2_0
volume_of_choroidplexus_right_hemisphere_f26598_2_0
mean_thickness_of_perirhinal_left_hemisphere_f27085_2_0
volume_of_grey_matter_in_frontal_orbital_cortex_right_f25847_2_0
mean_md_in_anterior_corona_radiata_on_fa_skeleton_right_f25126_2_0
volume_of_middletemporal_left_hemisphere_f26802_2_0
weightedmean_md_in_tract_superior_thalamic_radiation_right_f25539_2_0
mean_md_in_splenium_of_corpus_callosum_on_fa_skeleton_f25108_2_0
mean_intensity_of_ventraldc_right_hemisphere_f26580_2_0
volume_of_precentral_left_hemisphere_f26811_2_0
mean_md_in_superior_cerebellar_peduncle_on_fa_skeleton_left_f25117_2_0
mean_thickness_of_superiortemporal_left_hemisphere_f26784_2_0
volume_of_choroidplexus_left_hemisphere_f26567_2_0
weightedmean_fa_in_tract_middle_cerebellar_peduncle_f25504_2_0
weightedmean_od_in_tract_corticospinal_tract_left_f25685_2_0
volume_of_grey_matter_in_paracingulate_gyrus_right_f25837_2_0
volume_of_grey_matter_in_frontal_pole_right_f25783_2_0
volume_of_inferiorparietal_left_hemisphere_f27210_2_0
mean_thickness_of_caudalmiddlefrontal_right_hemisphere_f26859_2_0
volume_of_grey_matter_in_frontal_pole_left_f25782_2_0
mean_isovf_in_fornix_on_fa_skeleton_f25445_2_0
mean_icvf_in_uncinate_fasciculus_on_fa_skeleton_right_f25388_2_0
mean_l2_in_body_of_corpus_callosum_on_fa_skeleton_f25251_2_0
volume_of_grey_matter_in_precentral_gyrus_right_f25795_2_0
volume_of_grey_matter_in_precentral_gyrus_left_f25794_2_0
weightedmean_md_in_tract_superior_longitudinal_fasciculus_right_f25537_2_0
mean_md_in_external_capsule_on_fa_skeleton_left_f25137_2_0
weightedmean_od_in_tract_superior_thalamic_radiation_left_f25700_2_0
weightedmean_icvf_in_tract_medial_lemniscus_right_f25668_2_0
volume_of_precuneus_right_hemisphere_f26913_2_0
area_of_transversetemporal_right_hemisphere_f26988_2_0
greywhite_contrast_in_lateraloccipital_left_hemisphere_f26999_2_0
weightedmean_l1_in_tract_corticospinal_tract_left_f25577_2_0
weightedmean_l2_in_tract_anterior_thalamic_radiation_right_f25599_2_0
area_of_scollattransvpost_left_hemisphere_f27379_2_0
